soa_code,soa_name,mdm_score_2010,k_nimdm2010
95AA01S1,Aldergrove_1,4.47,-1.5525343583120235
95AA01S2,Aldergrove_2,9.69,-1.2251568850585894
95AA01S3,Aldergrove_3,20.94,-0.5196019858054984
95AA02W1,Balloo,20.91,-0.5214834655368401
95AA03W1,Ballycraigy,32.2,0.18658007335803964
95AA04W1,Clady,8.62,-1.2922629954764389
95AA05W1,Cranfield,9.68,-1.2257840449690365
95AA06S1,Crumlin_1_Antrim,10.09,-1.2000704886407016
95AA06S2,Crumlin_2_Antrim,13.49,-0.9868361190886564
95AA07W1,Drumanaway,13.03,-1.0156854749692272
95AA08W1,Farranshane,40.32,0.6958339206411592
95AA09W1,Fountain Hill,24.3,-0.30887625589524204
95AA10W1,Greystone_Antrim,23.23,-0.37598236631309156
95AA11S1,Massereene_1,11.62,-1.1041150223422813
95AA11S2,Massereene_2,5.63,-1.4797838087001491
95AA12W1,Parkgate,7.27,-1.3769295833868098
95AA13S1,Randalstown_1,10.49,-1.1749840922228139
95AA13S2,Randalstown_2,11.31,-1.123556979566144
95AA14W1,Shilvodan,10.22,-1.1919174098048881
95AA15S1,Springfarm_1,14.21,-0.9416806055364585
95AA15S2,Springfarm_2,21.91,-0.4587674744921209
95AA16W1,Steeple,30.34,0.06992833001486179
95AA17W1,Stiles,21.27,-0.4989057087607412
95AA18W1,Templepatrick,4.24,-1.5669590362523087
95AA19W1,Toome,18.09,-0.6983425602829482
95BB01S1,Ballygowan_1,6.68,-1.413932018103194
95BB01S2,Ballygowan_2,7.35,-1.3719123041032322
95BB02W1,Ballyrainey,24.91,-0.27061950135796337
95BB03S1,Ballywalter_1,22.55,-0.41862924022350056
95BB03S2,Ballywalter_2,10.32,-1.1856458107004162
95BB04S1,Bradshaw's Brae_1,11.84,-1.0903175043124431
95BB04S2,Bradshaw's Brae_2,5.18,-1.5080060046702728
95BB05S1,Carrowdore_1,11.85,-1.0896903444019959
95BB05S2,Carrowdore_2,14.8,-0.9046781708200742
95BB06W1,Central_Ards,34.22,0.31326637526837214
95BB07S1,Comber East_1,19.5,-0.6099130129098941
95BB07S2,Comber East_2,8.71,-1.286618556282414
95BB08S1,Comber North_1,24.7,-0.2837898594773544
95BB08S2,Comber North_2,3.65,-1.6039614709686931
95BB09S1,Comber West_1,5.57,-1.4835467681628323
95BB09S2,Comber West_2,4.78,-1.5330924010881604
95BB10S1,Donaghadee North_1,17.69,-0.7234289567008357
95BB10S2,Donaghadee North_2,6.03,-1.4546974122822613
95BB11S1,Donaghadee South_1,26.73,-0.15647639765657442
95BB11S2,Donaghadee South_2,14.56,-0.9197300086708068
95BB12S1,Glen_1,35.09,0.3678292874772781
95BB12S2,Glen_2,8.81,-1.280346957177942
95BB13S1,Gregstown_1,11.85,-1.0896903444019959
95BB13S2,Gregstown_2,22.54,-0.4192564001339479
95BB13S3,Gregstown_3,6.99,-1.394490060879331
95BB14S1,Killinchy_1,7.69,-1.3505888671480275
95BB14S2,Killinchy_2,7.46,-1.365013545088313
95BB15S1,Kircubbin_1,13.77,-0.969275641596135
95BB15S2,Kircubbin_2,22.09,-0.4474785961040714
95BB16S1,Lisbane_1,4.38,-1.5581787975060482
95BB16S2,Lisbane_2,3.76,-1.5970627119537741
95BB17S1,Loughries_1,10.6,-1.1680853332078946
95BB17S2,Loughries_2,14.86,-0.9009152113573912
95BB18S1,Millisle_1,29.11,-0.00721233897014283
95BB18S2,Millisle_2,7.5,-1.3625049054465244
95BB19S1,Movilla_1,9.22,-1.2546334008496074
95BB19S2,Movilla_2,4.04,-1.5795022344612526
95BB19S3,Movilla_3,4.26,-1.5657047164314146
95BB20S1,Portaferry_1,17.37,-0.7434980738351459
95BB20S2,Portaferry_2,35.18,0.37347372667130263
95BB21S1,Portavogie_1,26.86,-0.148323318820761
95BB21S2,Portavogie_2,15.75,-0.845097979327591
95BB22S1,Scrabo_1,30.36,0.07118264983575615
95BB22S2,Scrabo_2,36.2,0.43744403753691635
95BB23S1,Whitespots_1,4.8,-1.531838081267266
95BB23S2,Whitespots_2,4.46,-1.5531615182224705
95CC01W1,Abbey Park,22.53,-0.4198835600443949
95CC02W1,Ballymartrim,17.4,-0.7416165941038045
95CC03W1,Callan Bridge,41.35,0.76043139141722
95CC04W1,Carrigatuke,20.93,-0.5202291457159457
95CC05W1,Charlemont,15.47,-0.8626584568201123
95CC06S1,Demesne_1,7.92,-1.336164189207742
95CC06S2,Demesne_2,12.64,-1.0401447114766678
95CC07W1,Derrynoose,17.77,-0.7184116774172583
95CC08W1,Downs,25.85,-0.21166646977592724
