soa_code,sen_prop_prim,abs_prop_prim,no5gcsr_prop,neet_prop,noHE_prop,sen_prop_postprim,abs_prop_postprim,loQual_prop,death_ratio,phy_benefit_ratio,cancer_ratio,emergency_ratio,lo_birthweight_prop,child_denExtract_ratio,multiPrescrib_ratio,health_long_ratio
95AA01S1,0.14,0.051,0.429,0.044,0.915,0.076,0.064,0.253,0,10.3,NA,47.6,0.065,10.5,30.2,70.6
95AA01S2,0.063,0.033,0.207,0.03,0.555,0.068,0.049,0.261,130.4,63.6,90,79.6,0.022,46.6,78,87.6
95AA01S3,0.043,0.031,0.335,0.016,0.662,0.075,0.046,0.245,53,69.4,84.6,77.6,0.017,38.7,114.1,79.4
95AA02W1,0.11,0.049,0.317,0.038,0.697,0.092,0.092,0.401,157,120.6,108.4,120.2,0.068,96.4,122.8,108.2
95AA03W1,0.103,0.042,0.476,0.021,0.839,0.115,0.056,0.461,172.6,122.2,125.2,105.6,0.029,107.5,136.1,122.9
95AA04W1,0.063,0.038,0.194,0.019,0.627,0.066,0.043,0.288,64.9,62.5,83.8,87.8,0.045,74.1,78,81.9
95AA05W1,0.079,0.029,0.223,0.006,0.51,0.036,0.054,0.303,78.9,82.6,96,72.7,0.03,83,96.4,93.2
95AA06S1,0.119,0.048,0.214,0.027,0.562,0.12,0.066,0.334,130,108,114.3,103.9,0.025,99.3,111.6,107.9
95AA06S2,0.105,0.054,0.304,0.051,0.658,0.082,0.056,0.347,120.1,93.8,94.6,101.4,0.054,66.8,102.3,102.7
95AA07W1,0.063,0.04,0.24,0.022,0.593,0.07,0.061,0.335,98.7,80,84.9,87.6,0.037,71.1,110.9,92.5
95AA08W1,0.168,0.051,0.625,0.04,0.793,0.067,0.079,0.46,184.4,135.4,108.5,119.6,0.071,121.2,131.7,116.2
95AA09W1,0.116,0.054,0.48,0.009,0.721,0.107,0.076,0.446,104.1,106.4,117.1,90.8,0.056,84.2,111.7,108.7
95AA10W1,0.07,0.05,0.509,0.016,0.706,0.124,0.075,0.406,85.6,118.6,132.3,104,0.053,78.7,106.7,114.9
95AA11S1,0.05,0.04,0.329,0.019,0.656,0.069,0.067,0.315,100.9,90.6,91.4,90.3,0.051,67.3,103.5,96.1
95AA11S2,0.048,0.035,0.359,0.013,0.601,0.091,0.056,0.273,87.5,67.6,100.8,81.1,0.019,53.4,89.6,92.3
95AA12W1,0.044,0.033,0.171,0.033,0.535,0.038,0.045,0.229,58.3,48.4,82,64.4,0.018,52.3,63.3,81.8
95AA13S1,0.063,0.042,0.389,0.017,0.628,0.055,0.055,0.31,96.9,83.4,119.9,113.3,0.032,62.2,94.8,86.2
95AA13S2,0.055,0.037,0.372,0.014,0.671,0.049,0.057,0.318,117.5,93,113.5,79.9,0.031,76.6,116.8,91.7
95AA14W1,0.08,0.033,0.19,0.006,0.572,0.087,0.051,0.258,83.2,60.2,89.2,100,0.038,67.8,76.3,82.2
95AA15S1,0.064,0.046,0.413,0.033,0.709,0.048,0.073,0.302,90.6,90.6,124.3,140.3,0.047,75.8,109.1,98.5
95AA15S2,0.094,0.054,0.688,0.04,0.859,0.104,0.099,0.396,246,121.8,126.4,199.3,0.06,53.7,88.5,108.5
95AA16W1,0.132,0.047,0.711,0.012,0.877,0.171,0.079,0.481,181.3,129.8,92.9,119.1,0.07,83.8,136.4,116.2
95AA17W1,0.094,0.049,0.509,0.03,0.731,0.111,0.087,0.38,56.4,113.3,127.3,96.8,0.034,82.8,117.3,104.9
95AA18W1,0.084,0.032,0.145,0.014,0.449,0.056,0.053,0.221,95.5,61.9,98.1,94.2,0.038,68.4,70.1,80.5
95AA19W1,0.081,0.031,0.37,0.031,0.61,0.068,0.064,0.404,86.9,104.4,124,101.2,0.053,89.8,130.3,89.4
95BB01S1,0.099,0.036,0.28,0.018,0.656,0.054,0.048,0.265,73.1,58.6,78.2,102,0.027,85.1,79.1,83.3
95BB01S2,0.14,0.032,0.37,0.015,0.628,0.058,0.043,0.289,93.2,66,80.2,72.4,0.029,123.9,91.7,99
95BB02W1,0.089,0.057,0.531,0.011,0.718,0.07,0.084,0.412,182.6,104.6,87.5,105,0.053,157.9,124.3,109
95BB03S1,0.112,0.058,0.408,0.022,0.815,0.023,0.09,0.406,96.7,105.6,96.7,87.5,0.05,113.2,86.4,112.5
95BB03S2,0.119,0.043,0.459,0.008,0.649,0.074,0.069,0.347,60.3,84.3,70.5,87.4,0.043,119.9,61.8,101.8
95BB04S1,0.095,0.041,0.483,0.03,0.558,0.107,0.094,0.296,90.9,91.1,109.2,174.1,0.016,148.1,119.8,102.9
95BB04S2,0.063,0.028,0.186,0.012,0.512,0.048,0.036,0.215,59.5,49,98.6,80.4,0.019,83.4,86,87.5
