soa_code,ward_code
95AA01S1,95AA01
95AA01S2,95AA01
95AA01S3,95AA01
95AA02W1,95AA02
95AA03W1,95AA03
95AA04W1,95AA04
95AA05W1,95AA05
95AA06S1,95AA06
95AA06S2,95AA06
95AA07W1,95AA07
95AA08W1,95AA08
95AA09W1,95AA09
95AA10W1,95AA10
95AA11S1,95AA11
95AA11S2,95AA11
95AA12W1,95AA12
95AA13S1,95AA13
95AA13S2,95AA13
95AA14W1,95AA14
95AA15S1,95AA15
95AA15S2,95AA15
95AA16W1,95AA16
95AA17W1,95AA17
95AA18W1,95AA18
95AA19W1,95AA19
95BB01S1,95BB01
95BB01S2,95BB01
95BB02W1,95BB02
95BB03S1,95BB03
95BB03S2,95BB03
95BB04S1,95BB04
95BB04S2,95BB04
95BB05S1,95BB05
95BB05S2,95BB05
95BB06W1,95BB06
95BB07S1,95BB07
95BB07S2,95BB07
95BB08S1,95BB08
95BB08S2,95BB08
95BB09S1,95BB09
95BB09S2,95BB09
95BB10S1,95BB10
95BB10S2,95BB10
95BB11S1,95BB11
95BB11S2,95BB11
95BB12S1,95BB12
95BB12S2,95BB12
95BB13S1,95BB13
95BB13S2,95BB13
95BB13S3,95BB13
95BB14S1,95BB14
95BB14S2,95BB14
95BB15S1,95BB15
95BB15S2,95BB15
95BB16S1,95BB16
95BB16S2,95BB16
95BB17S1,95BB17
95BB17S2,95BB17
95BB18S1,95BB18
95BB18S2,95BB18
95BB19S1,95BB19
95BB19S2,95BB19
95BB19S3,95BB19
95BB20S1,95BB20
95BB20S2,95BB20
95BB21S1,95BB21
95BB21S2,95BB21
95BB22S1,95BB22
95BB22S2,95BB22
95BB23S1,95BB23
95BB23S2,95BB23
95CC01W1,95CC01
95CC02W1,95CC02
95CC03W1,95CC03
95CC04W1,95CC04
95CC05W1,95CC05
95CC06S1,95CC06
95CC06S2,95CC06
95CC07W1,95CC07
95CC08W1,95CC08
95CC09S1,95CC09
95CC09S2,95CC09
95CC10W1,95CC10
95CC11W1,95CC11
95CC12W1,95CC12
95CC13W1,95CC13
95CC14W1,95CC14
95CC15W1,95CC15
95CC16W1,95CC16
95CC17W1,95CC17
95CC18W1,95CC18
95CC19W1,95CC19
95CC20S1,95CC20
95CC20S2,95CC20
95CC21W1,95CC21
95CC22W1,95CC22
95DD01W1,95DD01
95DD02S1,95DD02
95DD02S2,95DD02
95DD03W1,95DD03
95DD04W1,95DD04
95DD05W1,95DD05
95DD06W1,95DD06
95DD07S1,95DD07
95DD07S2,95DD07
95DD08W1,95DD08
95DD09W1,95DD09
95DD10W1,95DD10
95DD11W1,95DD11
95DD12W1,95DD12
95DD13W1,95DD13
95DD14S1,95DD14
95DD14S2,95DD14
95DD15W1,95DD15
95DD16W1,95DD16
95DD17W1,95DD17
95DD18W1,95DD18
95DD19S1,95DD19
95DD19S2,95DD19
95DD20W1,95DD20
95DD21W1,95DD21
95DD22S1,95DD22
95DD22S2,95DD22
95DD23W1,95DD23
95DD24W1,95DD24
95EE01W1,95EE01
95EE02W1,95EE02
95EE03W1,95EE03
95EE04W1,95EE04
95EE05W1,95EE05
95EE06W1,95EE06
95EE07W1,95EE07
95EE08W1,95EE08
95EE09W1,95EE09
95EE10W1,95EE10
95EE11W1,95EE11
95EE12W1,95EE12
95EE13W1,95EE13
95EE14W1,95EE14
95EE15W1,95EE15
95EE16W1,95EE16
95FF01S1,95FF01
95FF01S2,95FF01
95FF02W1,95FF02
95FF03W1,95FF03
95FF04W1,95FF04
95FF05W1,95FF05
95FF06S1,95FF06
95FF06S2,95FF06
95FF07W1,95FF07
95FF08W1,95FF08
95FF09W1,95FF09
95FF10W1,95FF10
95FF11W1,95FF11
95FF12W1,95FF12
95FF13W1,95FF13
95FF14W1,95FF14
95FF15W1,95FF15
95FF16W1,95FF16
95FF17W1,95FF17
95GG01S1,95GG01
95GG01S2,95GG01
95GG01S3,95GG01
95GG02S1,95GG02
95GG02S2,95GG02
95GG02S3,95GG02
95GG03S1,95GG03
95GG03S2,95GG03
95GG03S3,95GG03
95GG04S1,95GG04
95GG04S2,95GG04
95GG04S3,95GG04
95GG05S1,95GG05
95GG05S2,95GG05
95GG05S3,95GG05
95GG06S1,95GG06
95GG06S2,95GG06
95GG06S3,95GG06
95GG07S1,95GG07
95GG07S2,95GG07
95GG07S3,95GG07
95GG08S1,95GG08
95GG08S2,95GG08
95GG08S3,95GG08
95GG09S1,95GG09
95GG09S2,95GG09
95GG09S3,95GG09
95GG10S1,95GG10
95GG10S2,95GG10
95GG11S1,95GG11
95GG11S2,95GG11
95GG11S3,95GG11
95GG12S1,95GG12
95GG12S2,95GG12
95GG12S3,95GG12
95GG12S4,95GG12
95GG12S5,95GG12
95GG13S1,95GG13
95GG13S2,95GG13
95GG13S3,95GG13
95GG14S1,95GG14
95GG14S2,95GG14
95GG14S3,95GG14
95GG15S1,95GG15
95GG15S2,95GG15
95GG15S3,95GG15
95GG16S1,95GG16
95GG16S2,95GG16
95GG16S3,95GG16
95GG17S1,95GG17
95GG17S2,95GG17
95GG17S3,95GG17
95GG18S1,95GG18
95GG18S2,95GG18
95GG19S1,95GG19
95GG19S2,95GG19
95GG20S1,95GG20
95GG20S2,95GG20
